context,scaled_dependencies
"Один из методов борьбы с этим перепадом температур был предложен в 1804 году английским инженером Артуром Вульфом, который запатентовал Компаундную паровую машину высокого давления Вульфа. В этой машине высокотемпературный пар из парового котла поступал в цилиндр высокого давления, а после этого отработанный в нём пар с более низкой температурой и давлением поступал в цилиндр (или цилиндры) низкого давления. Это уменьшало перепад температуры в каждом цилиндре, что в целом снижало температурные потери и улучшало общий коэффициент полезного действия паровой машины. Пар низкого давления имел больший объём, и поэтому требовал большего объёма цилиндра. Поэтому в компаудных машинах цилиндры низкого давления имели больший диаметр (а иногда и большую длину) чем цилиндры высокого давления.",0.06
"Когда система приобретённого иммунитета у позвоночных сталкивается с вирусом, она образует специфические антитела, присоединяющиеся к вирусу и часто делающие его неопасным. Это называется гуморальным иммунитетом. Наиболее важными являются два типа антител. Первый, называемый IgM, обладает высокой эффективностью в нейтрализации вирусов, но образуется клетками иммунной системы лишь в течение нескольких недель. Синтез второго — IgG — продолжается неопределённо долго. Присутствие IgM в крови хозяина говорит о наличии острой инфекции, в то время IgG свидетельствует об инфекции, перенесённой в прошлом. Именно количество IgG измеряется при тестах на иммунитет. Антитела могут продолжать оставаться эффективным защитным механизмом даже тогда, когда вирусу удаётся проникнуть в клетку. Клеточный белок TRIM21 может прикреплять антитела к поверхности вирусных частиц. Это вызывает последующее разрушение вирусной частицы ферментами клеточной протеосомной системы.",0.03
"В Воронеже ко Дню города открылся музей юмора В начале сентября 2011 года в ТЦ Аксиома открылся первый в Воронеже музей юмора Весёлая лестница . Его создателем стал известный карикатурист Иван Анчуков. Помимо постоянной экспозиции в музее работает гостевая стенка, где размещаются работы молодых карикатуристов. В дальнейшем Иван Анчуков планирует открыть школу карикатуры. Посетители могут посмотреть архивные юмористические коллажи, плакаты, оригинальные дорожные знаки, образцы рекламы с юморным уклоном, майки с весёлыми рисунками, а ещё авторские плакаты. Автор экспозиции сделал уникальную шахматную доску размером 1,5 на 1,5 метра с юмористическими рисунками на тему шахмат. Вместе с карикатуристом над выставкой работает юморист Виталий Будённый. В настоящее время он прорабатывает идею доски почёта. Идея создания музея юмора возникла у Ивана Анчукова после того, как в Воронеже заговорили о развитии туризма. По его мнению, наш город может заменить Одессу как центр юмора. Воплощая свою задумку, он опирался на опыт клуба карикатуристов Шедевр , который он организовал в конце 80-х годов. (Информация с http://news.moe-online.ru)",0.03
"При такой конструкции сердца в щелевидном пространстве вокруг неполной перегородки желудочка устанавливается градиент (разность) количества кислорода крови. После сокращения предсердий артериальная кровь из левого предсердия оказывается в верхней половине желудочка и вытесняет венозную кровь, излившуюся из правой части желудочка, в нижнюю половину. В правой части желудочка оказывается смешанная кровь. При сокращении желудочка каждая порция крови устремляется к ближайшему отверстию: артериальная кровь из верхней половины — в правую дугу аорты, венозная кровь из нижней половины — в лёгочную артерию, а смешанная кровь из правой части желудочка — в левую дугу аорты. Поскольку именно правая дуга аорты несёт кровь к мозгу, мозг получает наиболее обогащённую кислородом кровь. У крокодилов перегородка полностью разделяет желудочек на две половины: правую — венозную и левую — артериальную, таким образом сформировав четырёхкамерное сердце, практически как у млекопитающих и птиц.",0.06
"Хрупкость. В области относительно низких температур (ниже температуры плавления) стекло разрушается от механического воздействия без заметной пластической деформации и, таким образом, относится к идеально хрупким материалам (наряду с алмазом и кварцем). Данное свойство может быть отражено удельной ударной вязкостью. Как и в предыдущих случаях, изменение химического состава позволяет регулировать и это свойство: например, введение брома повышает прочность на удар почти вдвое. Для силикатных стёкол ударная вязкость составляет от 1,5 до 2 кН/м, что в 100 раз уступает железу.",0.04
"Следующей стала трубка Мир , что тоже было символично после Великой Отечественной войны. Была открыта трубка Удачная . Такие открытия послужили началом промышленной добычи алмазов на территории СССР. На данный момент львиная доля добываемых в России алмазов приходится на якутские горнообрабатывающие комбинаты. Кроме того, крупные месторождения алмазов находятся на территории Красновишерского района Пермского края, и в Архангельской области: месторождение им. Ломоносова на территории Приморского района и месторождение Верхотина (им. В. Гриба) на территории Мезенского района.",0.02
"По состоянию на 1 января 1993 года 80 % акций Челиндбанка принадлежало физическим лицам. Состав ключевых собственников банка стабилен в течение более чем 10 лет и представлен топ-менеджерами, ни одному из которых не принадлежит более 15 % акций банка. Его основные владельцы: Михаил Братишкин (11,97 %), Луиза Байль (11,47 %), Татьяна Косовская (11,43 %), Зоя Кошалко (11,34 %), Владимир Андрющенко (11,27 %), Любовь Литвиненко (11,25 %), Вера Клепикова (11,09 %). Среди акционеров банка фигурирует и фонд инвестиций в финансовый сектор Ренфин II Лимитед (5,59 %), а так же американский банк State Street Bank and Trust Company (6,64 %).",0.08
"В 1499 году Жуан Фернандиш Лаврадор (англ.)русск., получивший патент короля Португалии, вместе с Перу ди Барселушем впервые обнаружил полуостров Лабрадор, который был назван его именем. После возвращения он, возможно, заходил в Бристоль, чтобы получить патентную грамоту и в дальнейшем заниматься исследованиями для англичан.[54] Примерно в то же самое время, в 1499—1502 годы, братья Гашпар и Мигель Кортириалы исследовали побережье Гренландии и Ньюфаундленда в поисках Северо-Западного прохода в Азию.[55] Эти открытия были отражены на Планисфере Кантино в 1502 году.",0.05
"Рост городов-республик привёл к росту влияния сословий, не участвовавших в феодальных отношениях: мастеровых и ремесленников, торговцев, банкиров. Всем им была чужда иерархическая система ценностей, созданная средневековой, во многом церковной культурой, и её аскетичный, смиренный дух. Это привело к появлению гуманизма — общественно-философского движения, рассматривавшего человека, его личность, его свободу, его активную, созидающую деятельность как высшую ценность и критерий оценки общественных институтов.",0.07
"После отставки предыдущего руководства, Ян Валландере был принят на работу в качестве нового генерального директора. Валландере имел опыт работы в качестве экономического исследователя, позже ставшим генеральным директором Sundsvallsbanken, регионального банка на севере Швеции. Под руководством Валландере, были внесены многие изменения, которые по-прежнему характерны для Handelsbanken. Во время 1970-1972, Handelsbanken создала восемь региональных банков с высокой степенью независимости. Большая часть решений была связа с децентрализацией, внимание больше стало сосредоточео на отчетности и меньше на центральном бюджете. Новое руководство стало ориентироваться на достижении рентабельности, а не на рост объемов как это было в 1950-х и 1960-х годах.",0.04
"Закон Авогадро — одинаковые объёмы любых газов при одинаковом давлении и температуре содержат одинаковое число молекул. Этот закон был открыт на основе опытов по химии итальянским ученым Амедео Авогадро в 1811 году. Закон касается слабо сжатых газов (например, газов под атмосферным давлением). В случае сильно сжатых газов считать его справедливым нельзя. Закон Авогадро означает, что давление газа при определенной температуре зависит только от числа молекул в единице объёма газа, но не зависит от того, какие это молекулы.",0.04
"Широкое распространение среди перепончатокрылых насекомых получило явление гнездового и социального паразитизма, когда некоторые насекомые насильственно или тайно присваивают либо чужой кормовой (клептопаразиты), либо гнездовой ресурс (гнездовой и социальный паразитизм). Самки шмелей-кукушек, пчёл-кукушек и некоторых ос со сходным поведением проникают в гнездо хозяина и убивают там матку колонии. Затем они откладывает свои собственные яйца, а рабочие особи вида-хозяина впоследствии выкармливают личинок вида-паразита. Именно так поступают шмели-кукушки подрода Psithyrus и более 700 видов рода Nomada, паразитирующих на пчёлах из родов Andrena, Lasioglossum, Eucera, Melitta и Panurgus. Своих гнёзд пчёлы-кукушки не строят, и у них нет аппарата для сбора пыльцы, а из-за отсутствия опушения они внешне более похожи на ос, чем на пчёл. Несколько тысяч видов пчёл-кукушек известно в семействах Apidae, Megachilidae и Halictidae.",0.06
"Наиболее массовые отечественные бензины А-76, АИ-93 (ГОСТ 2084-77) и АИ-92 (ТУ 38.001165-97) не отвечают указанным требованиям по содержанию свинца (для этилированных бензинов), массовой доли серы, отсутствию регламентации содержания бензола и моющих присадок. Впрочем, они и давно не производятся (так, этилированный бензин вообще можно увидеть разве что в гараже запасливого пенсионера). В настоящее время на бензоколонки поставляется в основном так называемое топливо евро -стандарта (на самом деле — соответствующий техрегламенту Таможенного союза ТР ТС 013/2011).",0.08
"Индустриальная среда порождает целый ряд негативных последствий для здоровья человека, в частности, нервозность и стресс. К факторам, порождающим стресс, относят чрезмерный шум, плохой воздух, загрязненная вода, плохое питание, несчастные случаи на производстве, социальная отчужденность, изоляция в обществе или от общества, бедность, отсутствие жилища, постоянного или даже временного, употребление спиртного и иных наркотических средств. Скученность городского населения, облегчающая распространение эпидемий, — лишь один из этих негативных факторов.",0.07
"По современной классификации пчелиные объединяются в одну группу (надсемейство) вместе с родственными им сфекоидными осами, которые ранее составляли отдельное надсемейство Sphecoidea. Известны ископаемые представители из миоценового янтаря, например, около 20 вымерших родов пчёл — †Electrolictus, Paleomelitta, Eomacropis, Electrobombus (Engel, 2001), ископаемая пчела †Apis miocenica Hong (1983). Вымерший род Sinostigma Hong (1983) с видом Sinostigma spinalata (сначала как Melittidae, позднее перенесенная в Megachilidae — Hong, 1985, а теперь понимаемая как оса Pemphredon spinalatum). В 1975 году выделено ископаемое семейство ос †Angarosphecidae Rasnitsyn, 1975 (= Baissodinae Rasnitsyn, 1975), позднее пониженное до уровня подсемейства Angarosphecinae (рода †Angarosphex Rasnitsyn, 1975, †Archisphex Evans, 1969, †Baissodes Rasnitsyn, 1975 и др.). В 2001 году выделено ископаемое семейство пчёл †Paleomelittidae (род †Paleomelitta Engel, 2001). В 2006 году описана самая древняя пчела †Melittosphex burmensis из нового семейства Melittosphecidae.",0.07
С 2008 года город Березники является членом Евразийского регионального отделения всемирной организации Объединённые города и местные власти (Евроазиатское региональное отделение ОГМВ). Созданная в 2004 году при поддержке ООН всемирная организация Объединённые города и местные власти (ВО ОГМВ) объединяет более 1000 городов и ассоциаций мира из 136 стран. Евразийское региональное отделение включает в себя 109 городов и ассоциаций местных властей стран СНГ и Монголии. Штаб квартира Евразийского отделения базируется в г. Казани.,0.05
"В настоящее время Windows установлена менее чем на 90% персональных компьютеров и рабочих станций. По данным компании Net Applications, на апрель 2016 года рыночная доля Windows составила ▼88,77%. По другим данным, рыночная доля Windows еще меньше. Падение доли связано, в первую очередь, с тенденцией к сокращению продаж ПК в мире, а также с увеличением доли ОС конкурентов — Mac OS X и Linux. Среди различных версий Windows по данным W3Schools с августа 2011 года наиболее популярна Windows 7 (около 48%).",0.04
"Среди воронежских предприятий машиностроения и металлообработки (объём продукции 29,43 миллиарда рублей) основными являются являются Воронежское акционерное самолётостроительное общество, ОАО Завод „Водмашоборудование“ , Воронежстальмост , Рудгормаш , Тяжмехпресс , КБ Новмаш-В , ПП Регионгаздеталь , филиалы ОАО Вагонреммаш (Воронежский вагоноремонтный завод) и ОАО Желдорреммаш (Воронежский тепловозоремонтный завод), Воронежский механический завод, Воронежсельмаш , предприятия химической промышленности (объём продукции 8,69 миллиарда рублей): Конструкторское бюро химавтоматики , Воронежсинтезкаучук , Воронежский шинный завод, Воронежский керамический завод, Воронежский стеклотарный завод, Верофарм , ООО Деко Минералс , предприятия электронной промышленности: материнская компания Концерна „Созвездие“ и его дочерние компании, предприятия пищевой промышленности (объём продукции 19,1 миллиарда рублей): молочный комбинат Воронежский , Воронежский завод плавленых сыров Янтарь , Воронежская кондитерская фабрика, Комбинат мясной Воронежский , предприятия деревообработки: Сомовская мебельная фабрика, холдинговая компания Мебель Черноземья и мебельный холдинг Ангстрем , компания ЕвроЛестницы .",0.45
"Мёд считается любимой пищей душ умерших. В похоронной обрядности мёд едят как самостоятельное блюдо, с ним готовят кутью, коливо, канун (хлеб, накрошенный в воду, подслащённую мёдом), сыту (разведённый в воде мёд), кисель, мажут мёдом блины, ритуальные хлебы и лепёшки, добавляют мёд в пиво и брагу. У восточных славян первый горячий блин, смазанный мёдом клали на лавку в головах умершего, на окно или божницу. После похорон старухи всю ночь караулят душу умершего, поставив на стол сыту; верили, что душа прилетит в образе мухи и будет пить приготовленный для неё напиток.",0.07
"В 1842 Сакс прибыл в Париж, где также планировал продвигать своё новое изобретение. 12 июня композитор Гектор Берлиоз, друг Сакса и музыкальный новатор, публикует в парижском Journal des Debats статью, посвящённую новому инструменту, к которому впервые применяет название саксофон , вскоре получившее широкое распространение. Берлиоз же стал автором первого сочинения с участием саксофона — Хорала для голоса и шести духовых инструментов, в котором помимо саксофона использовались и другие инструменты, сконструированные или усовершенствованные Саксом (например, бас-кларнет). 3 февраля 1844 композитор сам продирижировал этим произведением, а уже в декабре саксофон впервые появился в оперном оркестре на премьере оперы Жоржа Кастнера Последний царь Иудеи . В том же году саксофон был представлен на промышленной выставке в Париже[2].",0.06
"Денежное финансирование означает, что для покрытия бюджетного дефицита правительство получает кредиты центрального банка. Фактически это подразумевает выпуск в обращение (эмиссию) дополнительных денежных средств. Такое финансирование используется лишь в крайних случаях, так как его использование влечет за собой весьма негативные последствия для экономики. В результате реализации такого инструмента денежная масса национальной валюты увеличивается на величину, не обеспеченную товарами и услугами. Как следствие растет инфляция, нарушается нормальный механизм ценообразования, что в итоге влечет за собой падение курса национальной валюты. Помимо этого, отрицательным следствием раскручивания инфляции может стать проявление эффекта Танзи . Суть этого явления заключается в том, что налогоплательщики начинают сознательно оттягивать уплату налогов в государственный бюджет. За время отсрочки деньги частично обесцениваются, фактическая налоговая нагрузка снижается, что в свою очередь опять же уменьшает доходы бюджета и усугубляет бюджетный дефицит. Таким образом, финансовая система страны расшатывается всё больше.",0.04
"Национальные законы и юстиция, таким образом, основываются исключительно на теории естественного права. С исторической точки зрения, в общем праве речь идет о равных правах людей и общин низкого народа (или народное право), в которых каждый индивидуум сам управляет своими делами (свобода выбора), и которые меняются в соответствии с обычным правом. Существующие социальные обычаи и практика ссылаются на авторитет короны и английского дворянства, с прецедентным правом, что заменяет нормативные акты. Конституционный закон говорит, что правовые принципы, применяемые в Квебеке в соответствии с традициями германских народов, с принципом состязательности и королевских указов Англии и Канады. С другой стороны, культурное наследие французского правления в Квебекском законодательстве проявляется в связи с распространенностью социальных традиций и народных обычаев, от Парижского обычая до правовых норм Гражданского кодекса Франции.",0.07
"Так лазерный компакт-диск был представлен в 1980 году компаниями Philips и Sony. Метод кодирования сигнала — импульсно-кодовая модуляция (ИКМ; англ. Pulse Code Modulation, PCM). Выпуск первого коммерческого (опытные образцы CD производились и ранее) музыкального CD анонсирован 20 июня 1982 года, и 17 августа того же года на заводе звукозаписывающей компании Polygram, расположенном в Лангенхагене неподалёку от Ганновера, был выпущен, по заказу Philips, первый в мире коммерческий компакт-диск, положив тем самым начало их массовому производству. Чести быть впервые изданными на CD удостоилась группа ABBA с альбомом The Visitors .",0.05
"Прошедшие электронную инспекцию карточки сбрасываются на конвейер для визуального контроля на предмет обнаружения дефектов послойного формования или присутствия пыли, а также дефектов, которые не могут быть обнаружены данным электронным контролирующим устройством. В конце линии установлено автоматическое упаковочное устройство, на которое поступают карты, прошедшие инспекционный участок конвейера. Устройство отсчитывает требуемое число карточек для укладки в коробки, которые после закрытия обертываются термоусадочной пленкой.",0.06
"Помимо East Midland Trains железнодорожные перевозки осуществляют компании CrossCountry (англ.), First TransPennine Express (англ.) и Northern (англ.). Кроме главного железнодорожного вокзала в Шеффилде есть ещё 5 станций. Мидоухолл Интерчейндж (англ.) — автобусный, железнодорожный и трамвайный узел, вторая по величине станция, предоставляющая множество услуг, в том числе поезда дальнего следования компании CrossCountry. Станции Доур и Тотли (англ.), Вудхаус (англ.), Чеплтаун (англ.), Дарнал (англ.) работаюют как станции пригородного железнодорожного сообщения, но также имеют сообщение с общенациональной сетью железных дорог.",0.02
"О Толстом ещё при жизни писали многие газеты и журналы всех политических направлений. О нём написаны тысячи критических статей и рецензий. Его ранние произведения нашли оценку в революционно-демократической критике. Однако Война и мир , Анна Каренина и Воскресение не получили в современной им критике настоящего раскрытия и освещения:4. Его роман Анна Каренина не получил достойной оценки в критике 1870-х годов; идейно-образная система романа осталась не раскрытой, так же, как и его удивительная художественная сила. В то же время сам Толстой не без иронии писал: Если близорукие критики думают, что я хотел описывать только то, что мне нравится, как обедает Облонский и какие плечи у Карениной, то они ошибаются .",0.05
"Город занимает выгодное положение на юго-западном побережье Пиренейского полуострова, на западном берегу бухты Мар да Палья, в 15 км от Атлантического океана. Районы города простираются вдоль лиссабонского побережья, тянущегося от речного устья до пляжей Алентежу. Современные высотные здания мегаполиса ближе к окраинам сменяются живописными рыбацкими хижинами, объединенными в небольшие поселки. Зимой средняя температура +9 градусов, летом +24. Окрестности Лиссабона богаты растительностью, среди которой: приморская сосна, эвкалипт, вечнозеленые кустарники (маквисы).",0.04
"Старица, как правило, имеет серповидную или петлеобразную форму. Обычно старицы образуются при спрямлении меандрирующего русла, когда в половодье или паводки во́ды, идущие по пойме, способны промыть более короткий путь. Также старицы образуются при достижении меандрирующей рекой полной степени развития таким образом, что соседние излучины смыкаются друг с другом. Иногда старицы бывают вытянутой формы. Такая форма стариц образуется при других типах русловых процессов, например, при пойменной многорукавности.",0.03
"Основными преимуществами предоплаченных банковских карт является скорость их оформления, отсутствие необходимости открытия банковского счета, а при лимите предоплаченной карты до 15 000 рублей — отсутствие необходимости предъявлять удостоверяющие личность документы при их оформлении. Предоплаченными банковскими картами могут пользоваться даже дети, при условии согласия их родителей. Другим преимуществом банковских предоплаченных карт является их безопасность при совершении транзакций в интернете — карта не привязана к банковскому счёту, по ней не может возникнуть задолженность.",0.06
"Любая кассета имеет в начале и конце чистую (белую или прозрачную) плёнку — ракорд. Эта плёнка плотная, она не содержит магнитных элементов и скреплена с основной плёнкой полоской липкой ленты либо специальным клеем. На ней могут присутствовать два непрозрачных (тёмно-красных) маркера, необходимые для работы мягкого автостопа. Ракорд не является чистящей лентой: использовать любые чистящие средства следует строго по назначению, регулярный контакт головки с чистящей плёнкой приводит к преждевременному износу головок. Однако в кассетах, изготавливаемых на студиях звукозаписи и некоторых фабричных (например, производства Maxell), может применяться ракорд с мягкими чистящими свойствами. Существуют специальные чистящие кассеты с одноразовой ворсистой плёнкой, которая чистит головки от загрязнений. Продолжительность протяжки чистящей плёнки не должна превышать двух минут.",0.04
"Сторонники конструктивизма полагают, что нации представляют собой искусственные образования, целенаправленно сконструированные, созданные интеллектуальными элитами (учёными, писателями, политиками, идеологами) на основе национального проекта — идеологии национализма, которая может выражаться не только в политических манифестах, но и в литературных произведениях, научных трудах и так далее. Согласно конструктивистам национализм не пробуждает нацию, которая до тех пор остается вещью-в-себе, а создает новую нацию там, где её не было. Географическими границами национального проекта при этом являются актуальные политические границы государства, а этнические различия населения, участвующего в строительстве такой нации вообще не имеют значения[2].",0.1
"А́лан Мэ́тисон Тью́ринг, OBE (англ. Alan Mathison Turing [ˈtjʊərɪŋ]; 23 июня 1912(19120623) — 7 июня 1954) — английский математик, логик, криптограф, оказавший существенное влияние на развитие информатики. Кавалер Ордена Британской империи (1945), член Лондонского королевского общества (1951)[6]. Предложенная им в 1936 году абстрактная вычислительная Машина Тьюринга , которую можно считать моделью компьютера общего назначения[7], позволила формализовать понятие алгоритма и до сих пор используется во множестве теоретических и практических исследований. Научные труды А. Тьюринга — общепризнанный вклад в основания информатики (и, в частности, — теории искусственного интеллекта)[8].",0.05
"Руби́н (лат. rubens, rubinus — красный; устар. сардис, лал, красный яхонт), Al2O3 — минерал, разновидность корунда, относится к классу оксидов, тригональная сингония. Твёрдость — 9 по шкале Мооса, плотность 3,97—4,05 г/см³, подробнее см. корунд. Обладает оптической анизотропией[1]. От красной шпинели отличим по форме кристаллов, в иных случаях — с большим трудом, например под микроскопом. Красную окраску придаёт примесь хрома[2]. Красные корунды называются рубинами, синие — сапфирами. Светлоокрашенные сапфиры или бесцветный корунд ювелирного качества носит название лейкосапфир. Звёздчатые разновидности рубина и сапфира с хорошо выраженным эффектом астеризма обрабатываются в виде кабошона.",0.02
"Большую художественную ценность являют собой наскальные барельефы Дацзу — великолепный образец пещерно-храмового искусства. Крепость Дяоюйчэн в Хэчуане, называемая европейцами Восточной Меккой , — одна из трех крупнейших цитаделей по сопротивлению чужеземному нашествию в военной истории древнего Китая. Можно прибавить к этому перечню наскальные письмена в Фэнду ( Чертовом городе ), резную живопись на каменном пороге Янцзы в Фулине, небесную лестницу в уезде Шичжу, архитектурно-пейзажный ансамбль крепости Шибаочжай в уезде Чжунсянь, Кумирню Чжан Фэя в Юньяне, буддийский монастырь Шуангуйтан в уезде Лянпин, усадьбу Байдичэн, где известный правитель Шу — Лю Бэй перед смертью поручил Чжугэ Ляну взять заботу о своем сыне, грот поэта Лу Юя в горе Ушань, наконец, висячие гробы на отвесных отрогах.",0.11
"Должность лорда-спикера была задумана в 2003 году после принятия решения о разделении обязанностей лорда-канцлера (первоначально должность лорда-канцлера должна была быть упразднена). Специальный комитет палаты лордов изучил вопрос о новой должности председателя палаты, включая и вопрос о её наименовании. По рекомендации комитета должность получила название лорд-спикер , в том числе и потому, что данное название уже использовалось ранее в регламентах и справочниках. Лорд-спикер палаты лордов избирается членами палаты и должен быть политически беспристрастным. До июля 2006 г. роль председателя палаты лордов осуществлял лорд-канцлер. Согласно акту о конституционной реформе 2005 года позиция спикера палаты лордов (именно так название определено в акте) стала отдельной должностью, позволяя тем самым занять эту должность кому-то другому кроме лорда-канцлера. Лорд-канцлер продолжал исполнять обязанности спикера палаты лордов в переходный период — с момента принятия закона и до вступления закона в силу. Первым лордом-спикером была баронесса Хелен Валери Хэйман. Текущий лорд-спикер — баронесса Фрэнсис Д’Соуза — вступила в должность 1 сентября 2011 г.",0.05
